#,Name,base_name,form,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,Computed Total,Total Match,Offense Score,Defense Score,Bulk Score,Mobility Score,Best Attack,Best Defense,Offense Score Norm,Defense Score Norm,Bulk Score Norm,Mobility Score Norm,Viability Score,Role,Display Name,Type Tuple,Type Offense Raw,Type Defense Raw,Coverage Super Effective Rate,Coverage Resisted Rate,Incoming Weakness Rate,Incoming Resistance Rate,Incoming Immunity Rate,Expected Incoming Multiplier,Type Offense Norm,Type Defense Norm,Offense Capability,Defense Capability,Meta Viability Score
8,Wartortle,Wartortle,Base,Water,None,405,59,63,80,65,80,58,1,False,405,True,64.0,80.0,73.0,58,65,80,0.3176470588235294,0.29411764705882354,0.3634146341463415,0.3028571428571429,0.317960237753638,Balanced,Wartortle,"('Water',)",1.0643749999999983,0.9946743128164401,0.17500000000000007,0.2874999999999998,0.11943986820428334,0.22817133443163096,0.0,1.005354200988468,0.24894514767932577,0.4392183842370741,0.29016629436584795,0.3694821887020032,0.32003378144855726
9,Blastoise,Blastoise,Base,Water,None,530,79,83,100,85,105,78,1,False,530,True,84.0,102.5,94.66666666666667,78,85,105,0.43529411764705883,0.4,0.5219512195121953,0.41714285714285715,0.4401717565074811,Balanced,Blastoise,"('Water',)",1.0643749999999983,0.9946743128164401,0.17500000000000007,0.2874999999999998,0.11943986820428334,0.22817133443163096,0.0,1.005354200988468,0.24894514767932577,0.4392183842370741,0.3607545296599656,0.4461751585728785,0.4067515514834005
9,BlastoiseMega Blastoise,Blastoise,Mega Blastoise,Water,None,630,79,103,120,135,115,78,1,False,630,True,119.0,117.5,104.66666666666667,78,135,120,0.6411764705882353,0.47058823529411764,0.5951219512195123,0.41714285714285715,0.5445117852018856,Heavy hitter,Blastoise (Mega Blastoise),"('Water',)",1.0643749999999983,0.9946743128164401,0.17500000000000007,0.2874999999999998,0.11943986820428334,0.22817133443163096,0.0,1.005354200988468,0.24894514767932577,0.4392183842370741,0.48428394142467146,0.4891737238526489,0.48471389007737464
10,Caterpie,Caterpie,Base,Bug,None,195,45,30,35,20,20,45,1,False,195,True,25.0,27.5,33.333333333333336,45,30,35,0.08823529411764706,0.047058823529411764,0.07317073170731711,0.22857142857142856,0.10299549087927855,Balanced,Caterpie,"('Bug',)",1.006874999999999,0.9131252342169732,0.17750000000000005,0.35999999999999954,0.18369028006589788,0.1771004942339374,0.0,1.0951400329489291,0.17130801687763886,0.3305044457299968,0.12146438322164377,0.1669650494541221,0.1484103060425002
11,Metapod,Metapod,Base,Bug,None,205,50,20,55,25,25,30,1,False,205,True,22.5,40.0,43.333333333333336,30,25,55,0.07352941176470588,0.10588235294117647,0.1463414634146342,0.14285714285714285,0.11004560360729658,Balanced,Metapod,"('Bug',)",1.006874999999999,0.9131252342169732,0.17750000000000005,0.35999999999999954,0.18369028006589788,0.1771004942339374,0.0,1.0951400329489291,0.17130801687763886,0.3305044457299968,0.11264085380987907,0.20584596767506902,0.14474554379613827
12,Butterfree,Butterfree,Base,Bug,Flying,395,60,45,50,90,80,70,1,False,395,True,67.5,65.0,63.333333333333336,70,90,80,0.3382352941176471,0.2235294117647059,0.29268292682926833,0.37142857142857144,0.3070870055339209,Balanced,Butterfree,"('Bug', 'Flying')",1.3637499999999967,0.8507358086665777,0.3412499999999996,0.05500000000000002,0.25617792421746294,0.18121911037891267,0.05518945634266886,1.1754530477759475,0.653164556962025,0.2473324431854836,0.46420699925539827,0.2503390030991576,0.36256183717628043
13,Weedle,Weedle,Base,Bug,Poison,195,40,35,30,20,20,50,1,False,195,True,27.5,25.0,30.0,50,35,30,0.10294117647058823,0.03529411764705882,0.04878048780487806,0.2571428571428571,0.10603761016601762,Balanced,Weedle,"('Bug', 'Poison')",1.1774999999999975,0.9134687726794949,0.2300000000000001,0.15000000000000008,0.257825370675453,0.2652388797364086,0.0,1.0947281713344317,0.40168776371308046,0.3309624204849641,0.22243981136758514,0.15693303132167574,0.190532904039868
14,Kakuna,Kakuna,Base,Bug,Poison,205,45,25,50,25,25,35,1,False,205,True,25.0,37.5,40.0,35,25,50,0.08823529411764706,0.09411764705882353,0.12195121951219513,0.17142857142857143,0.11308772289403568,Balanced,Kakuna,"('Bug', 'Poison')",1.1774999999999975,0.9134687726794949,0.2300000000000001,0.15000000000000008,0.257825370675453,0.2652388797364086,0.0,1.0947281713344317,0.40168776371308046,0.3309624204849641,0.21361628195582044,0.19581394954262266,0.18686814179350603
15,Beedrill,Beedrill,Base,Bug,Poison,395,65,90,40,45,80,75,1,False,395,True,67.5,60.0,61.666666666666664,75,90,80,0.3382352941176471,0.2,0.28048780487804875,0.4,0.30447991391678625,Balanced,Beedrill,"('Bug', 'Poison')",1.1774999999999975,0.9134687726794949,0.2300000000000001,0.15000000000000008,0.257825370675453,0.2652388797364086,0.0,1.0947281713344317,0.40168776371308046,0.3309624204849641,0.3636162819558204,0.2725069194134978,0.33287057569389544
15,BeedrillMega Beedrill,Beedrill,Mega Beedrill,Bug,Poison,495,65,150,40,15,80,145,1,False,495,True,82.5,60.0,61.666666666666664,145,150,80,0.4264705882352941,0.2,0.28048780487804875,0.8,0.41536226685796274,DPS,Beedrill (Mega Beedrill),"('Bug', 'Poison')",1.1774999999999975,0.9134687726794949,0.2300000000000001,0.15000000000000008,0.257825370675453,0.2652388797364086,0.0,1.0947281713344317,0.40168776371308046,0.3309624204849641,0.4165574584264087,0.2725069194134978,0.43067939922330717
16,Pidgey,Pidgey,Base,Normal,Flying,251,40,45,40,35,35,56,1,False,251,True,40.0,37.5,38.333333333333336,56,45,40,0.17647058823529413,0.09411764705882353,0.10975609756097564,0.2914285714285714,0.16553105144496824,Balanced,Pidgey,"('Flying', 'Normal')",1.2068749999999977,1.0434035227617604,0.2325000000000001,0.10250000000000004,0.12026359143327842,0.1375617792421746,0.0930807248764415,0.9584019769357496,0.44135021097046473,0.5041798089947124,0.2824224373293624,0.2620521244587171,0.260128555700391
17,Pidgeotto,Pidgeotto,Base,Normal,Flying,349,63,60,55,50,50,71,1,False,349,True,55.0,52.5,56.0,71,60,55,0.2647058823529412,0.16470588235294117,0.23902439024390248,0.37714285714285717,0.25705697888911666,Balanced,Pidgeotto,"('Flying', 'Normal')",1.2068749999999977,1.0434035227617604,0.2325000000000001,0.10250000000000004,0.12026359143327842,0.1375617792421746,0.0930807248764415,0.9584019769357496,0.44135021097046473,0.5041798089947124,0.3353636137999506,0.31907507998239,0.3249979449194933
18,Pidgeot,Pidgeot,Base,Normal,Flying,479,83,80,75,70,70,101,1,False,479,True,75.0,72.5,76.0,101,80,75,0.38235294117647056,0.25882352941176473,0.38536585365853665,0.5485714285714286,0.3853168682106989,Balanced,Pidgeot,"('Flying', 'Normal')",1.2068749999999977,1.0434035227617604,0.2325000000000001,0.10250000000000004,0.12026359143327842,0.1375617792421746,0.0930807248764415,0.9584019769357496,0.44135021097046473,0.5041798089947124,0.40595184909406823,0.38860162230663675,0.41904447084693747
18,PidgeotMega Pidgeot,Pidgeot,Mega Pidgeot,Normal,Flying,579,83,80,80,135,80,121,1,False,579,True,107.5,80.0,81.0,121,135,80,0.5735294117647058,0.29411764705882354,0.42195121951219516,0.6628571428571428,0.4912263783562205,DPS,Pidgeot (Mega Pidgeot),"('Flying', 'Normal')",1.2068749999999977,1.0434035227617604,0.2325000000000001,0.10250000000000004,0.12026359143327842,0.1375617792421746,0.0930807248764415,0.9584019769357496,0.44135021097046473,0.5041798089947124,0.5206577314470093,0.41010090494652196,0.5044058922447648
19,Rattata,Rattata,Base,Normal,None,253,30,56,35,25,35,72,1,False,253,True,40.5,35.0,33.333333333333336,72,56,35,0.17941176470588235,0.08235294117647059,0.07317073170731711,0.38285714285714284,0.17458792785406846,Balanced,Rattata,"('Normal',)",0.8799999999999981,0.9942669932784275,0.0,0.1787500000000001,0.04365733113673806,0.0,0.03789126853377265,1.0057660626029652,0.0,0.4386753822563193,0.10764705882352942,0.22258636524112171,0.19345149370842996
20,Raticate,Raticate,Base,Normal,None,413,55,81,60,50,70,97,1,False,413,True,65.5,65.0,61.666666666666664,97,81,70,0.3264705882352941,0.2235294117647059,0.28048780487804875,0.5257142857142857,0.33138747694199633,Balanced,Raticate,"('Normal',)",0.8799999999999981,0.9942669932784275,0.0,0.1787500000000001,0.04365733113673806,0.0,0.03789126853377265,1.0057660626029652,0.0,0.4386753822563193,0.19588235294117648,0.323827398239687,0.30406642504681897
21,Spearow,Spearow,Base,Normal,Flying,262,40,60,30,31,31,70,1,False,262,True,45.5,30.5,33.666666666666664,70,60,31,0.2088235294117647,0.0611764705882353,0.07560975609756097,0.37142857142857144,0.17779001844640296,Balanced,Spearow,"('Flying', 'Normal')",1.2068749999999977,1.0434035227617604,0.2325000000000001,0.10250000000000004,0.12026359143327842,0.1375617792421746,0.0930807248764415,0.9584019769357496,0.44135021097046473,0.5041798089947124,0.30183420203524475,0.24198612732815755,0.27571230749379133
22,Fearow,Fearow,Base,Normal,Flying,442,65,90,65,61,61,100,1,False,442,True,75.5,63.0,63.666666666666664,100,90,65,0.38529411764705884,0.21411764705882352,0.2951219512195122,0.5428571428571428,0.3559781717565075,Balanced,Fearow,"('Flying', 'Normal')",1.2068749999999977,1.0434035227617604,0.2325000000000001,0.10250000000000004,0.12026359143327842,0.1375617792421746,0.0930807248764415,0.9584019769357496,0.44135021097046473,0.5041798089947124,0.40771655497642123,0.3503935878733513,0.4030299955446214
23,Ekans,Ekans,Base,Poison,None,288,35,60,44,40,54,55,1,False,288,True,50.0,49.0,44.333333333333336,55,60,54,0.23529411764705882,0.14823529411764705,0.15365853658536588,0.2857142857142857,0.20728632916581266,Balanced,Ekans,"('Poison',)",0.9521874999999977,1.0033057841173445,0.12125000000000005,0.2762499999999998,0.12932454695222406,0.2652388797364086,0.0,0.9967051070840197,0.09746835443037949,0.4507250898473353,0.1801638123603871,0.27058702302645204,0.22719172408410518
24,Arbok,Arbok,Base,Poison,None,438,60,85,69,65,79,80,1,False,438,True,75.0,74.0,69.33333333333333,80,85,79,0.38235294117647056,0.26588235294117646,0.33658536585365856,0.42857142857142855,0.35332547653207624,Balanced,Arbok,"('Poison',)",0.9521874999999977,1.0033057841173445,0.12125000000000005,0.2762499999999998,0.12932454695222406,0.2652388797364086,0.0,0.9967051070840197,0.09746835443037949,0.4507250898473353,0.2683991064780341,0.3574952009317605,0.3318927386362675
25,Pikachu,Pikachu,Base,Electric,None,320,35,55,40,50,50,90,1,False,320,True,52.5,45.0,41.666666666666664,90,55,50,0.25,0.12941176470588237,0.13414634146341464,0.4857142857142857,0.24382506661201064,Balanced,Pikachu,"('Electric',)",1.0599999999999987,1.0279424206198797,0.2250000000000001,0.2787499999999998,0.05518945634266886,0.16474464579901152,0.0,0.972817133443163,0.24303797468354574,0.48356845033351176,0.24721518987341828,0.27225808314631716,0.28999440374220686
26,Raichu,Raichu,Base,Electric,None,485,60,90,55,90,80,110,1,False,485,True,90.0,67.5,65.0,110,90,80,0.47058823529411764,0.23529411764705882,0.30487804878048785,0.6,0.4045050215208034,Fast,Raichu,"('Electric',)",1.0599999999999987,1.0279424206198797,0.2250000000000001,0.2787499999999998,0.05518945634266886,0.16474464579901152,0.0,0.972817133443163,0.24303797468354574,0.48356845033351176,0.3795681310498889,0.35199983350499725,0.4081029556995753
27,Sandshrew,Sandshrew,Base,Ground,None,300,50,75,85,20,30,40,1,False,300,True,47.5,57.5,55.0,40,75,85,0.22058823529411764,0.18823529411764706,0.23170731707317074,0.2,0.21060616929698708,Balanced,Sandshrew,"('Ground',)",1.0974999999999973,0.8906823176219454,0.25375000000000003,0.2425000000000001,0.21334431630971992,0.09884678747940692,0.04118616144975288,1.1227347611202636,0.29367088607594893,0.30058555643616647,0.24982129560685018,0.24404340478393574,0.23473246507246884
28,Sandslash,Sandslash,Base,Ground,None,450,75,100,110,45,55,65,1,False,450,True,72.5,82.5,80.0,65,100,110,0.36764705882352944,0.3058823529411765,0.4146341463414635,0.34285714285714286,0.35664531666325067,Balanced,Sandslash,"('Ground',)",1.0974999999999973,0.8906823176219454,0.25375000000000003,0.2425000000000001,0.21334431630971992,0.09884678747940692,0.04118616144975288,1.1227347611202636,0.29367088607594893,0.30058555643616647,0.33805658972449726,0.33095158268924424,0.3394334796246312
29,Nidoran♀,Nidoran♀,Base,Poison,None,275,55,47,52,40,40,41,1,False,275,True,43.5,46.0,49.0,41,47,52,0.19705882352941176,0.13411764705882354,0.18780487804878052,0.2057142857142857,0.18120383275261326,Balanced,Nidoran♀,"('Poison',)",0.9521874999999977,1.0033057841173445,0.12125000000000005,0.2762499999999998,0.12932454695222406,0.2652388797364086,0.0,0.9967051070840197,0.09746835443037949,0.4507250898473353,0.15722263588979885,0.2741824319217175,0.20318150170246962
30,Nidorina,Nidorina,Base,Poison,None,365,70,62,67,55,55,56,1,False,365,True,58.5,61.0,64.0,56,62,67,0.2852941176470588,0.20470588235294118,0.29756097560975614,0.2914285714285714,0.26882732117237135,Balanced,Nidorina,"('Poison',)",0.9521874999999977,1.0033057841173445,0.12125000000000005,0.2762499999999998,0.12932454695222406,0.2652388797364086,0.0,0.9967051070840197,0.09746835443037949,0.4507250898473353,0.2101638123603871,0.32632733866490254,0.266002110433767
31,Nidoqueen,Nidoqueen,Base,Poison,Ground,505,90,92,87,75,85,76,1,False,505,True,83.5,86.0,87.33333333333333,76,92,87,0.4323529411764706,0.32235294117647056,0.4682926829268293,0.4057142857142857,0.4067131584341053,Balanced,Nidoqueen,"('Ground', 'Poison')",1.397499999999996,0.914845515365017,0.37374999999999936,0.02125,0.26441515650741354,0.23476112026359144,0.04118616144975288,1.0930807248764414,0.6987341772151888,0.3327977707087114,0.5389054355919578,0.3630158084269566,0.44633103338712876
32,Nidoran♂,Nidoran♂,Base,Poison,None,273,46,57,40,40,40,50,1,False,273,True,48.5,40.0,42.0,50,57,40,0.22647058823529412,0.10588235294117647,0.13658536585365855,0.2571428571428571,0.1844809387169502,Balanced,Nidoran♂,"('Poison',)",0.9521874999999977,1.0033057841173445,0.12125000000000005,0.2762499999999998,0.12932454695222406,0.2652388797364086,0.0,0.9967051070840197,0.09746835443037949,0.4507250898473353,0.17486969471332825,0.2514952009317605,0.2116400075438305
33,Nidorino,Nidorino,Base,Poison,None,365,61,72,57,55,55,65,1,False,365,True,63.5,56.0,57.666666666666664,65,72,57,0.31470588235294117,0.1811764705882353,0.25121951219512195,0.34285714285714286,0.2742565074810412,Balanced,Nidorino,"('Poison',)",0.9521874999999977,1.0033057841173445,0.12125000000000005,0.2762499999999998,0.12932454695222406,0.2652388797364086,0.0,0.9967051070840197,0.09746835443037949,0.4507250898473353,0.2278108711839165,0.30650667869359693,0.2756433996323733
34,Nidoking,Nidoking,Base,Poison,Ground,505,81,102,77,85,75,85,1,False,505,True,93.5,76.0,77.66666666666667,85,102,77,0.49117647058823527,0.2752941176470588,0.3975609756097562,0.45714285714285713,0.4116760606681697,Balanced,Nidoking,"('Ground', 'Poison')",1.397499999999996,0.914845515365017,0.37374999999999936,0.02125,0.26441515650741354,0.23476112026359144,0.04118616144975288,1.0930807248764414,0.6987341772151888,0.3327977707087114,0.5741995532390167,0.3288622933623942,0.458661346975979
35,Clefairy,Clefairy,Base,Fairy,None,323,70,45,48,60,65,35,1,False,323,True,52.5,56.5,61.0,35,60,65,0.25,0.18352941176470589,0.27560975609756105,0.17142857142857143,0.22279001844640295,Balanced,Clefairy,"('Fairy',)",1.0759374999999973,1.0227464184990613,0.15500000000000008,0.18750000000000008,0.09143327841845139,0.14497528830313017,0.04118616144975288,0.9777594728171335,0.2645569620253161,0.47664160499391295,0.25582278481012644,0.3237943751396025,0.2586002149471775
36,Clefable,Clefable,Base,Fairy,None,483,95,70,73,95,90,60,1,False,483,True,82.5,81.5,86.0,60,95,90,0.4264705882352941,0.30117647058823527,0.45853658536585373,0.3142857142857143,0.37912328345972535,Balanced,Clefable,"('Fairy',)",1.0759374999999973,1.0227464184990613,0.15500000000000008,0.18750000000000008,0.09143327841845139,0.14497528830313017,0.04118616144975288,0.9777594728171335,0.2645569620253161,0.47664160499391295,0.36170513775130286,0.410702553044911,0.37190417067581044
37,Vulpix,Vulpix,Base,Fire,None,299,38,41,40,50,65,65,1,False,299,True,45.5,52.5,47.666666666666664,65,50,65,0.2088235294117647,0.16470588235294117,0.17804878048780487,0.34285714285714286,0.2184458905513425,Balanced,Vulpix,"('Fire',)",1.1381249999999974,0.9440124407884671,0.25250000000000006,0.3074999999999998,0.2067545304777595,0.29489291598023065,0.0,1.0593080724876442,0.34852320675105475,0.371680507232312,0.26470340034748074,0.2508314568384054,0.26532625220178674
38,Ninetales,Ninetales,Base,Fire,None,505,73,76,75,81,100,100,1,False,505,True,78.5,87.5,82.66666666666667,100,81,100,0.40294117647058825,0.32941176470588235,0.43414634146341474,0.5428571428571428,0.418783049805288,Balanced,Ninetales,"('Fire',)",1.1381249999999974,0.9440124407884671,0.25250000000000006,0.3074999999999998,0.2067545304777595,0.29489291598023065,0.0,1.0593080724876442,0.34852320675105475,0.371680507232312,0.38117398858277485,0.3725029059058373,0.40846649610422575
39,Jigglypuff,Jigglypuff,Base,Normal,Fairy,270,115,45,20,45,25,20,1,False,270,True,45.0,22.5,53.333333333333336,20,45,25,0.20588235294117646,0.023529411764705882,0.21951219512195125,0.08571428571428572,0.13898647263783565,Balanced,Jigglypuff,"('Fairy', 'Normal')",1.138124999999997,1.0398286927089062,0.15500000000000008,0.06375000000000001,0.09143327841845139,0.1013179571663921,0.07907742998352553,0.9616968698517299,0.3485232067510542,0.49941416527177057,0.2629386944651276,0.26287900900684313,0.21774429424092218
40,Wigglytuff,Wigglytuff,Base,Normal,Fairy,435,140,70,45,85,50,45,1,False,435,True,77.5,47.5,78.33333333333333,45,85,50,0.39705882352941174,0.1411764705882353,0.4024390243902439,0.22857142857142856,0.30046679647468744,Balanced,Wigglytuff,"('Fairy', 'Normal')",1.138124999999997,1.0398286927089062,0.15500000000000008,0.06375000000000001,0.09143327841845139,0.1013179571663921,0.07907742998352553,0.9616968698517299,0.3485232067510542,0.49941416527177057,0.37764457681806873,0.3497871869121516,0.3353497205577904
41,Zubat,Zubat,Base,Poison,Flying,245,40,45,35,30,40,55,1,False,245,True,37.5,37.5,38.333333333333336,55,45,40,0.16176470588235295,0.09411764705882353,0.10975609756097564,0.2857142857142857,0.15924113547858168,Balanced,Zubat,"('Flying', 'Poison')",1.2534374999999973,1.0402742062871524,0.2737499999999999,0.10000000000000003,0.1943986820428336,0.2652388797364086,0.05518945634266886,0.9612850082372325,0.5042194092827006,0.5000080841312026,0.29874658724249203,0.2603834345133132,0.2643569784299209
42,Golbat,Golbat,Base,Poison,Flying,455,75,80,70,65,75,90,1,False,455,True,72.5,72.5,73.33333333333333,90,80,75,0.36764705882352944,0.25882352941176473,0.3658536585365854,0.4857142857142857,0.36369594179135073,Balanced,Golbat,"('Flying', 'Poison')",1.2534374999999973,1.0402742062871524,0.2737499999999999,0.10000000000000003,0.1943986820428336,0.2652388797364086,0.05518945634266886,0.9612850082372325,0.5042194092827006,0.5000080841312026,0.4222759990071979,0.382054883580745,0.41093839880294813
43,Oddish,Oddish,Base,Grass,Poison,320,45,50,55,75,65,30,1,False,320,True,62.5,60.0,55.0,30,75,65,0.3088235294117647,0.2,0.23170731707317074,0.14285714285714285,0.23300112728018038,Balanced,Oddish,"('Grass', 'Poison')",1.3374999999999972,0.9329490865455523,0.31874999999999964,0.11000000000000004,0.24135090609555185,0.29983525535420097,0.0,1.0718698517298186,0.6177215189873422,0.35693183277145646,0.4323827252419957,0.2706995623768753,0.3105416993304594
44,Gloom,Gloom,Base,Grass,Poison,395,60,65,70,85,75,40,1,False,395,True,75.0,72.5,68.33333333333333,40,85,75,0.38235294117647056,0.25882352941176473,0.32926829268292684,0.2,0.3043830703012912,Balanced,Gloom,"('Grass', 'Poison')",1.3374999999999972,0.9329490865455523,0.31874999999999964,0.11000000000000004,0.24135090609555185,0.29983525535420097,0.0,1.0718698517298186,0.6177215189873422,0.35693183277145646,0.4765003723008192,0.31567804157343193,0.360961021937551
45,Vileplume,Vileplume,Base,Grass,Poison,490,75,80,85,110,90,50,1,False,490,True,95.0,87.5,83.33333333333333,50,110,90,0.5,0.32941176470588235,0.4390243902439025,0.2571428571428571,0.3965863906538225,Heavy hitter,Vileplume,"('Grass', 'Poison')",1.3374999999999972,0.9329490865455523,0.31874999999999964,0.11000000000000004,0.24135090609555185,0.29983525535420097,0.0,1.0718698517298186,0.6177215189873422,0.35693183277145646,0.5470886075949368,0.367822948316617,0.4272417147024618
46,Paras,Paras,Base,Bug,Grass,285,35,70,55,45,55,25,1,False,285,True,57.5,55.0,48.333333333333336,25,70,55,0.27941176470588236,0.17647058823529413,0.18292682926829273,0.11428571428571428,0.20135427341668374,Balanced,Paras,"('Bug', 'Grass')",1.3296874999999975,0.7128596589163759,0.35249999999999965,0.2287500000000001,0.3253706754530478,0.32207578253706753,0.0,1.4028006589785833,0.6071729957805914,0.06352829085219168,0.41051625713576595,0.1329077295403028,0.2514248198717569
47,Parasect,Parasect,Base,Bug,Grass,405,60,95,80,60,80,30,1,False,405,True,77.5,80.0,73.33333333333333,30,95,80,0.39705882352941174,0.29411764705882354,0.3658536585365854,0.14285714285714285,0.31424216027874563,Balanced,Parasect,"('Bug', 'Grass')",1.3296874999999975,0.7128596589163759,0.35249999999999965,0.2287500000000001,0.3253706754530478,0.32207578253706753,0.0,1.4028006589785833,0.6071729957805914,0.06352829085219168,0.4811044924298836,0.21981590744561125,0.3269514646760201
48,Venonat,Venonat,Base,Bug,Poison,305,60,55,50,40,55,45,1,False,305,True,47.5,52.5,55.0,45,55,55,0.22058823529411764,0.16470588235294117,0.23170731707317074,0.22857142857142856,0.21043810207009633,Balanced,Venonat,"('Bug', 'Poison')",1.1774999999999975,0.9134687726794949,0.2300000000000001,0.15000000000000008,0.257825370675453,0.2652388797364086,0.0,1.0947281713344317,0.40168776371308046,0.3309624204849641,0.2930280466617028,0.24795885628580774,0.2574503051466522
